رقم الملف,رقم القرار,تاريخ القرار,محكمة الاستئناف,القاعدة القانونية,معاينة القرار الاستئنافي
2023/1221/120,2023/1221/2846,2023-07-17,محكمة الاستئناف بأكادير,‫• مسطره الامهال القضائي الامهال في اداء القروض والمستحقات الحالة - شروط الاستجابة‬‬ لطلب الامهال القضائي - حدد المشرع نطاق تطبيق مسطرة الامهال القضائي - لا تنصرف الى‬‬ ‫تمويل النشاط التجاري والمهني‬‬ ‫• التمويل الاستهلاكي وحده يخضع لمسطرة حماية المستهلك - لا يعتبر المهني والتاجر‬‬ ‫مستهلكين بمفهوم قانون حماية المستهلك -‬‬ ‫• لا تستفيد القروض التجارية والمهنية من مسطرة الامهال القضائي المقررة في قانون‬‬ ‫الاستهلاك.‬‬,
2023/1221/76,2023/1221/2845,2023-07-17,محكمة الاستئناف بأكادير,‫• الاذن بسحب المبالغ المودعة بصندوق الأمانات بالمحكمة- الطبيعة القانونية لمجرد‬‬ ‫إيداع المبالغ بصندوق المحكمة.‬‬ ‫• يحق للمودع ان يسحب الاموال المودعة بصندوق الأمانات بالمحكمة ولو وضعت رهن‬‬ ‫اشارة المودع له.‬‬ ‫• لا ينقل الايداع في ذاته ملكية الاموال المودعة بمجرد الإيداع في غياب موجب لذلك.‬‬ ‫• يحق للمودع ان يسحب المبالغ المودعة باسم المودع له تحت مسؤولية المودع له ان كان‬‬ ‫متوفرا على الوكالة اعمالا لقواعد الوكالة -‬‬ ‫• منح المودع له لوكالة خاصة للمودع بسحب المبالغ المودعة - اعمال قواعد الوكالة‬‬ ‫واحكامها – وجوب اذن الرئيس للمودع الوكيل بسحب المبالغ المودعة.‬‬ ‫• يقتصر رئيس المحكمة بصفته قاضيه للأمور المستعجلة بالإذن بسحب المبالغ المودعة‬‬ ‫بحساب المحكمة تحت مسؤولية المودع له.‬‬,
2023/1221/70,2023/1221/2844,2023-07-17,محكمة الاستئناف بأكادير,‫• تعذر إجراء العرض العيني في العنوان المحدد من طرف صاحب الإنذار بمثابة رفض‬‬ ‫ضمني للعرض العيني، يخول الإيداع بدون عرض حقيقي لمبالغ الكراء.‬‬ ‫• يعفى المدين من العرض العيني في حال ما اذا كان الدائن غير محقق أو غير معروف أو‬‬ ‫في جميع الأحوال التي لا يستطيع المدين إجراء العرض لسبب يرجع لشخص الدائن- الفصل 278‬‬ ‫‪ ‬ق.ل.ع من,
2023/8203/2148,2023/8203/4525,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/2150,2023/8203/4526,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/2452,2023/8203/4532,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8201/1106,2023/8201/4508,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/1938,2023/8201/4541,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/1812,2023/8201/4511,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2022/8230/3401,2023/8230/4506,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/8230/406,2023/8230/4513,2023-07-13,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/8228/1093,2023/8228/1566,2023-07-13,محكمة الاستئناف التجارية بمراكش,لما لم تدل المستانفة بالوثائق المحاسبية للخبير فهي بذلك تساهم بإيجابية في اجراءات التحقيق استيفاء الخبرة للشروط الشكلية و الجواب عن نقط القرار التمهيدي وعدم ادلاء المستانفة بعكس. ما في الدفاتر التجارية للشركة الخصم و لا بما يدحض مضمون المراسلات الالكترونية بين الطرفين يبرر المصادقة على تقرير الخبرة الحسابية بثبوت القيام بالخذمات موضوع الفواتير,معاينة القرار الاستئنافي
2022/8206/3728,2023/8206/727,2023-07-12,محكمة الاستئناف التجارية بالدار البيضاء,منازعات ظهير 24 ماي 1955,
2023/8226/1476,2023/8226/4476,2023-07-12,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8203/1915,2023/8203/4464,2023-07-12,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/1919,2023/8203/4466,2023-07-12,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8223/1048,2023/8223/4426,2023-07-11,محكمة الاستئناف التجارية بالدار البيضاء,الأوامر بالأداء المستأنفة,
2023/8229/1360,2023/8229/4427,2023-07-11,محكمة الاستئناف التجارية بالدار البيضاء,الطعن في مقررات مكتب الملكية الصناعية,
2023/8201/1947,2023/8201/4443,2023-07-11,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8203/2315,2023/8203/4403,2023-07-10,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/1221/115,2023/1221/2658,2023-07-10,محكمة الاستئناف بأكادير,القضايا الاستعجالية المستانفة,
2023/1221/178,2023/1221/2667,2023-07-10,محكمة الاستئناف بأكادير,القضايا الاستعجالية المستانفة,
2023/1221/58,2023/1221/2665,2023-07-10,محكمة الاستئناف بأكادير,‫• طرد محتل من العقار المحفظ- وجوب اثبات طالب الاجراء لواقعة الاحتلال للعقار‬‬ المدعى ملكيته او صاحب الحق العيني المتفرع عن حق الملكية المقيد في الرسم العقاري.‬‬ ‫• اختصاص قاضي المستعجلات في الأمر بطرد المحتل بدون سند لعقار محفظ لا نزاع‬‬ ‫فيه- مسألة حسمها القضاء على مستوى محكمة النقض وقرر قضاة محاكم الموضوع في اطار‬‬ ‫القضاء الاستعجالي.‬‬ ‫• بالأمر القاضي بعدم قبول الطلب لعدم ثبوت واقعة احتلال العقار ويقع تحث طائلة‬‬ ‫عدم القبول لانتفاء موجب الامر بالطرد- مجرد الدفع بالاحتلال قرينة تؤكد عدم ثبوت‬‬ ‫الاحتلال في حق المطلوب في الاحتلال.‬‬,
2023/1221/781,2023/1221/2667,2023-07-10,محكمة الاستئناف بأكادير,• رفع الحجز التحفظي‬‬ ‫• اختصاص القضاء الاستعجالي لرفع الحجز التحفظي على عقار والمأمور به من طرف رئيس‬‬ ‫محكمة خارج اختصاصه الترابي.‬‬ ‫• الامر الولائي بالحجز الحجز التحفظي على عقار – إشكالية الجهة المختصة برفع الحجز‬‬ ‫التحفظي المأمور به من رئيس المحكمة الذي لا يتواجد العقار في دائرته.‬‬ ‫• الاختصاص الاصيل لرئيس المحكمة المتواجد فيه العقار لكونه اجراء تحفظي - الاصل‬‬ ‫اختصاص رئيس محكمة تواجد العقار لإيقاع الحجز – استثناء من القاعدة الاصلية - الامر‬‬ ‫بالحجز التحفظي من طرف رئيس محكمة المرفوع اليها النزاع في الموضوع للأداء الدين الذي‬‬ ‫على أساسه وقع الامر بالحجز التحفظي – تنفيذ الامر في اطار الانابة القضائية لدى محكمة‬‬ ‫تواجد العقار.‬‬ ‫• طلب رفع الحجز التحفظي في اطار القضاء الاستعجالي - اختصاص رئيس محكمة تواجد‬‬ ‫العقار بوصفه صاحب الاختصاص الاصيل لرئيس محكمة تنفيذ الحجز التحفظي.‬‬ ‫• لا يحق لرئيس محكمة تواجد العقار المأمور بحجزه تحفظيا من طرف رئيس محكمة‬‬ ‫أخرى لا يتواجد العقار في دائرته الحكم الامر بعدم الاختصاص لكون الامر صدر عن رئيس‬‬ محكمة أخرى نقل اليه الاختصاص لان النزاع معروض امام محكمته للاختصاص المكاني.‬‬ ‫• لا يرجع الى رئيس المحكمة الامر بالحجز التحفظي المتواجد العقار خارج اختصاصه‬‬ ‫الترابي لسماع الامر برفع الحجز التحفظي لوجود موجبات ذلك.‬‬,
2022/8220/4011,2023/8220/4396,2023-07-10,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/370,2023/8220/4355,2023-07-06,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/695,2023/8220/4360,2023-07-06,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8232/475,2023/8232/1520,2023-07-06,محكمة الاستئناف التجارية بمراكش,عدم اثبات تنفيذ الالتزام المقابل وهو التسليم يجعل مبررات ارجاع المبالغ المسلمة مقابل بيع البضاعة قائمة,معاينة القرار الاستئنافي
2023/8201/2083,2023/8201/4376,2023-07-06,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/1412,2023/8201/4337,2023-07-05,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/1307,2023/8201/4336,2023-07-05,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/2269,2023/8201/4794,2023-07-05,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8203/1916,2023/8203/4352,2023-07-05,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/1101/152,2023/1101/196,2023-07-05,محكمة الاستئناف بأكادير,الاستعجالي,
2023/1101/130,2023/1101/192,2023-07-05,محكمة الاستئناف بأكادير,‫• التذييل بالصيغة التنفيذية - ثنائية الجهة القضائية المختصة بالتذييل بالصيغة التنفيذية.‬‬ ‫• وجوب التمييز بين العقود الأجنبية من جهة، والاحكام الأجنبية من جهة ثانية- اختلاف‬‬ ‫الجهة المختصة بالتذييل بالصيغة التنفيذية.‬‬ ‫• يرجع الاختصاص الاصيل بالتذييل بالصيغة التنفيذية لمحكمة الموضوع بالنسبة للعقود‬‬ ‫الأجنبية والاحكام الأجنبية غير الاحكام المتعلقة بالطلاق والتصديق والخلع او الفسخ -‬‬ ‫• يختص رئيس المحكمة بصفته الاستعجالية بنص خاص بالأمر بالتذييل بالصيغة التنفيذية‬‬ ‫للأحكام الأجنبية المتعلقة بالطلاق والتصديق والخلع والفسخ - اختصاص مقرر بنص تشريعي خاص.‬‬ ‫• يعد اختصاص الرئيس الاستعجالي في الامر بالتذييل بالصيغة التنفيذية استثناء من الاختصاص‬‬ ‫العام الممنوح لمحكمة الموضوع ذات الولاية العامة في تذييل الاحكام والعقود بالصيغة التنفيذية.‬‬ ‫• لا يحق لرئيس المحكمة الابتدائية ان يذيل العقود الأجنبية بالصيغة التنفيذية - مجال‬‬ ‫اختصاص محفوظ لمحكمة الموضوع.‬‬ ‫• اختصاص رئيس المحكمة الابتدائية محصور في الاحكام الأجنبية بالمواصفات الواردة في‬‬ ‫الفصل ‪ 430‬من قانون المسطرة المدنية -‬‬‬ ‫• ينظر رئيس محكمة الدرجة الاولى في تذييل الاحكام الأجنبية بالمواصفات المشار اليها‬‬ في الفصل ‪ 430‬من قانون المسطرة المدنية بالصيغة التنفيذية طبقا لنفس القواعد والاجراءات‬‬‬ ‫التي ينظر بها قاضي الموضوع.‬‬ ‫• يجب على رافع الدعوى الى القضاء ان يؤطر دعواه بتحديد الجهة اما لمحكمة الرئيس او‬‬ محكمة الموضوع - تقديم كل طلب او مقال الى رئيس المحكمة من غير تحديد صفته الولائية‬‬ ‫او الاستعجالية - افتراض تقديمه الى محكمه الموضوع لا الى رئيس المحكمة الذي يعد اختصاصه‬‬ ‫محددا بشروط خاصة.‬‬,
2023/8211/525,2023/8211/1492,2023-07-05,محكمة الاستئناف التجارية بمراكش,لما تبت للمحكمة ان المستانف يعتبر تاجرا محترفا ويفترض فيه العلم بما يتاجر فيه والتمييز بين المنتوج الاصلي والمزيف ورتبت على ذلك تبوت افعال التزييف في حقه تكون قد طبقت القانون تطبيقا سليما ولم تخرق ما احتج به من مقتضيات,معاينة القرار الاستئنافي
2023/8220/1608,2023/8220/4300,2023-07-04,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8203/1492,2023/8203/4289,2023-07-03,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2022/8201/2252,2023/8201/4285,2023-07-03,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8225/1117,2023/8225/1456,2023-06-28,محكمة الاستئناف التجارية بمراكش,القرار الاستئنافي القاضي بعدم قبول استئناف الحاجزة ضد الحكم الذي لم يقض لها باي مبلغ في مواجهة المحجوز عليها يعتبر قرار نهائيا حسم في عدم وجود المديونية ويترتب عنه رفع اليد عن الكفالة البنكية التي قدمت كبديل للحجز التحفظي الذي سبق ان قضي برفعه والطعن بالنقض لا يمس بقوة الشيئ المقضي به للقرار الاستئنافي المطعون فيه.,معاينة القرار الاستئنافي
2022/8203/853,2023/8203/1420,2023-06-27,محكمة الاستئناف التجارية بمراكش,صدور الامر باداء قيمة الكمبيالة المقبولة هو اجراء قاطع للتقادم وبداية الاجل الجديد يسري من وقت انتهاء الاثر المترتب على سبب الانقطاع,معاينة القرار الاستئنافي
2023/8204/1073,2023/8204/1430,2023-06-27,محكمة الاستئناف التجارية بمراكش,متى قررت جمعية الشركاء عدم وجود ارباح فلا يحق لاي شريك طلب اجراء محاسبة والحكم له بنصيبه من الارباح,معاينة القرار الاستئنافي
2023/8220/2003,2023/8220/4234,2023-06-27,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8201/1831,2023/8201/4264,2023-06-27,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/891,2023/8201/4204,2023-06-26,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/419,2023/8201/4217,2023-06-26,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/472,2023/8201/4203,2023-06-26,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8220/525,2023/8220/4209,2023-06-26,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/1826,2023/8220/4168,2023-06-22,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2022/8206/2967,2023/8206/681,2023-06-22,محكمة الاستئناف التجارية بالدار البيضاء,منازعات ظهير 24 ماي 1955,
2023/8201/138,2023/8201/1398,2023-06-22,محكمة الاستئناف التجارية بمراكش,عقد الاستشارة و المواكبة بشان الاشغال المحددة فيه ملزم للطرفين و لا مجال للدفع بتحفظات الجهات الإدارية بشان عقد الاستثمار الذي هو عقد مستقل,معاينة القرار الاستئنافي
2023/8228/1001,2023/8228/1411,2023-06-22,محكمة الاستئناف التجارية بمراكش,لما كانت الفواتير الموقع عليها بالقبول المعزز بمحاضر اجتماع مصادق عليها من قبل المدينة فإنها تعتبر حجج كافية لثبوت المديونية دو حاجة الى وجود فاتورة اولية.,معاينة القرار الاستئنافي
2023/8201/1849,2023/8201/4191,2023-06-22,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8230/1561,2023/8230/4167,2023-06-22,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/8201/823,2023/8201/4172,2023-06-22,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8223/1917,2023/8223/4188,2023-06-22,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/1635,2023/8203/4152,2023-06-21,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8201/1006,2023/8201/1384,2023-06-21,محكمة الاستئناف التجارية بمراكش,ان احتفاظ المستأنف عليه بالسيارة رغم القضاء باستبدالها من قبل المستأنفة لا ينطوي على اي خطا يبرر الحكم عليه بالتعويض مادام انه قد تبت ان هذه الاخيرة امتنعت عن تنفيذ الحكم الذي قضى عليها بالاستبدال حسب محاضر الامتناع المدلى بها فتكون المحكمة التي قضت برفض طلب التعويض بعد ان تبت لها تعنت المستأنفة في التنفيذ تكون قد سايرت الثابت لها من وثائق الملف ولم تخرق اي مقتضى قانوني.,معاينة القرار الاستئنافي
2023/8226/939,2023/8226/4116,2023-06-20,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8201/1145,2023/8201/4084,2023-06-20,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2022/8201/4472,2023/8201/4087,2023-06-20,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/577,2023/8201/1350,2023-06-20,محكمة الاستئناف التجارية بمراكش,مادام ان الفواتير تحمل توقيع الزبون بالقبول فانه تعتبر فواتير مقبولة مادام انه غير مطعون فيها,معاينة القرار الاستئنافي
2023/8220/1195,2023/8220/4088,2023-06-20,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/1606,2023/8220/4090,2023-06-20,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/569,2023/8220/4060,2023-06-19,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/634,2023/8220/4071,2023-06-19,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8201/403,2023/8201/4051,2023-06-19,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8203/1298,2023/8203/4052,2023-06-19,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/1221/25,2023/1221/2395,2023-06-19,محكمة الاستئناف بأكادير,‫• ادعاءه التواجد في المحل بإذن المالك للحق العيني – إشكالية الجهة المختصة في وضع‬‬ ‫حد للاحتلال من غير موجب- تحديد الاختصاص- اختصاص قاضي الاستعجال ام قاضي الموضوع‬‬ ‫• يختص رئيس المحكمة بصفته قاضيا للأمور المستعجلة بطرد محتل لعقار محفظ - ثبوت‬‬ ‫ملكية العقار لطالب الطرد بشهادة المحافظة العقارية قرينه قطعيه على الملكية.‬‬ ‫• عدم انكار المتواجد المدعى عليه التواجد في المحل موضوع مسطرة الطرد - اعفاء طالب‬‬ ‫الطرد للاحتلال من اثبات التواجد.‬‬ ‫• دفع المتواجد ان مدخل وجوده كان بإذن مالك العقار على وجه البر والاحسان - ادعاء‬‬ ‫ان مدخل التواجد مشروع - ارادة مالك العقار في استرداد عقاره المحتل - وجود رابطه تعاقدية‬‬ في شكل عقد غير مسمى.‬‬ ‫• لا يجبر المالك المقيد في الرسم العقاري طالب انهاء التواجد للاحتلال من غير سند من‬‬ الرجوع الى محكمة الموضوع من اجل معاينة انهاء العقد الذي بموجبه يتواجد المحتل في العقار‬‬ ‫بإذنه - لا يعطل ذلك اختصاص القاضي لاستعجالي من طرد المتواجد بمجرد ابداء الرغبة في‬‬ ‫استرجاعه المحل ادعاء تواجد متواجد بإذن مالك العقار بدون عوض.‬‬ ‫لا يمنع الدفع بأن تواجد المحتل للمحل انه مأذون له الاستغلال من طرده من المحل‬‬ ‫باعتباره متواجدا من غير سند قانوني بأمر من القضاء الاستعجالي- انهاء العقد بإرادة منفردة‬‬ ‫من طالب الطرد لا يشكل مساسا بالجوهر مانع من تدخل القضاء الاستعجالي واختصاص قضاء‬‬ ‫الموضوع حكما بالإنهاء، والطرد.‬‬,
2023/1221/65,2023/1221/2394,2023-06-19,محكمة الاستئناف بأكادير,‫• مسطرة ايقاف الانذار العقاري- اختصاص القضاء الاستعجالي بتأجيل إجراءات التنفيذ.‬‬ ‫• تعتبر شهادة التقييد الخاصة للرهن سندا تنفيذيا وليست مقررا قضائيا - ليس كل سند‬‬ تنفيذي قابل التنفيذ طبقا لقواعد التنفيذ الجبري حكما قضائيا - وجود سندات تنفيذية غير‬‬ ‫الاحكام القضائية قابلة للتنفيذ الجبري بوصف المشرع لها.‬‬ ‫• تمكن شهادة التقييد الخاصة للرهن الوارد على العقار المحفظ حق الدائن المرتهن من‬‬ ‫مباشرة اجراءات البيع الجبري للعقار مباشرة بفتح ملف الإنذار العقاري في حالة عدم اداء‬‬ ‫المدين للدين المترتب في ذمته -‬‬ ‫• تبدأ مسطرة الإنذار العقاري بناء على شهادة التقييد الخاصة بوجوب توجيه الانذار‬‬ ‫بالأداء الى المدين الراهن قبل ممارسة اجراءات البيع الجبري من غير ان يكون بيد الدائن حكم‬‬ ‫قضائي سابق بالأداء.‬‬ ‫• الطعن في اجراءات الانذار العقاري من طرف ورثة المدين الراهن بوصفهم خلف خاص -‬‬ ‫الدفع بأن ما تبقى من الدين المرهون وغير المؤدى مضمون بعقد التامين على الوفاة المكتتب‬‬ ‫لفائدة الدائن المرتهن - جدية الدفع.‬‬ ‫• يختص رئيس المحكمة بصفته قاضيا للمستعجلات بالقول بوجود صعوبة في تنفيذ شهادة‬‬ ‫التقييد الخاصة واجراءات الانذار العقاري - شروط وايقاف التنفيذ لوجود صعوبة في تنفيذ‬‬ ‫السند التنفيذي من طرف القضاء الاستعجالي - وجود منازعة جدية في الانذار العقاري والدين‬‬ ‫المتعلق به - تأسيس البطلان على اجراء شكلي وارد في الإنذار الموجه الى الورثة - مبلغ المديونية‬‬ ‫الواردة في الانذار العقاري - ادعاء الانقضاء بسبب واقعة الوفاة لوجود التأمين على الوفاة -‬‬ ‫مبرر كاف لسماع الامر بتأجيل اجراءات الانذار العقاري ووقفه الى حين البت في بطلان البيع‬‬ ‫الجبري لعدم استحقاق المبلغ المطالب به لانقضائه بواقعة الوفاة لوجود التأمين على الوفاة.‬‬,
2023/8203/1495,2023/8203/401,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/1549,2023/8203/4020,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8226/1130,2023/8226/4043,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8220/1620,2023/8220/4011,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8220/1640,2023/8220/4012,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2023/8206/971,2023/8206/648,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,منازعات ظهير 24 ماي 1955,
2023/8206/820,2023/8206/652,2023-06-15,محكمة الاستئناف التجارية بالدار البيضاء,منازعات ظهير 24 ماي 1955,
2022/8206/1710,2023/8206/647,2023-06-14,محكمة الاستئناف التجارية بالدار البيضاء,منازعات ظهير 24 ماي 1955,
2023/8201/1353,2023/8201/3993,2023-06-14,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/900,2023/8201/3917,2023-06-13,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2021/8201/815,2023/8201/3925,2023-06-13,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8203/1015,2023/8203/3922,2023-06-13,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/1912,2023/8203/3924,2023-06-13,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/1548,2023/8203/3944,2023-06-13,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8228/1190,2023/8228/1318,2023-06-13,محكمة الاستئناف التجارية بمراكش,ان المحكمة غير ملزمة بالامر باجراء بحث اذا لم تقم الطاعنة بتزويدها بأسماء الشهود و عناوينهم .,معاينة القرار الاستئنافي
2023/8220/455,2023/8220/3892,2023-06-12,محكمة الاستئناف التجارية بالدار البيضاء,المسؤولية البنكية,
2022/8203/5804,2023/8203/3879,2023-06-12,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2022/8203/5902,2023/8203/3880,2023-06-12,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2022/8203/1485,2023/8203/3898,2023-06-12,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8201/469,2023/8201/3893,2023-06-12,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/1424,2023/8201/3839,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2022/8201/2053,2023/8201/3841,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/74,2023/8201/3843,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8201/92,2023/8201/3845,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8203/957,2023/8203/3853,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8223/238,2023/8223/3874,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,الأوامر بالأداء المستأنفة,
2023/8216/3,2023/8216/1281,2023-06-08,محكمة الاستئناف التجارية بمراكش,لما كان المديونية ناتجة عن عقد القرض و ليس عن رصيد الحساب بالاطلاع فلا مبرر لقفل الحساب...و لما تبين ان اخر قسط يرجع الى مارس 2006 و البنك لم يبادر الى حصر الدين الا بتاريخ ماي 2021 فإنه لم يتقيد بدورية ووالي بنك المغرب بشأن الديون المتعثرة و لا يمكنه ان يتفيد من التاخير في حصر المديونية.,معاينة القرار الاستئنافي
2023/8224/1131,2023/8224/3838,2023-06-08,محكمة الاستئناف التجارية بالدار البيضاء,الأوامر المبنية على طلب المستأنفة,
2023/8201/801,2023/8201/1271,2023-06-07,محكمة الاستئناف التجارية بمراكش,ان المحكمة التي ثبت لها ان المستأنف قد كفل المدينة الاصلية كفالة تضامنية مع تنازله عن حق التجريد والتقسيم ملتزما الا يطالب باي إحلال او مباشرة أي دعوى شخصية ورتبت على ذلك الحكم عليه بالأداء تكون قد سايرت الثابت لها من وثائق الملف ولم تخرق ما احتج به من مقتضيات.,معاينة القرار الاستئنافي
2023/8203/1393,2023/8203/3814,2023-06-07,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8201/1248,2023/8201/3820,2023-06-07,محكمة الاستئناف التجارية بالدار البيضاء,العقود التجارية,
2023/8203/1485,2023/8203/3751,2023-06-06,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8203/1484,2023/8203/3766,2023-06-06,محكمة الاستئناف التجارية بالدار البيضاء,الأوراق التجارية,
2023/8201/528,2023/8201/1261,2023-06-06,محكمة الاستئناف التجارية بمراكش,طالما ان عقد كراء الأشياء محدد المدة و غير قابل للتجديد ، و ما دام لم يثبت أي اتفاق لاحق يثبت خلاف ذلك فان العقد يكون قد انتهى بانتهاء مدته و ذلك من دون حاجة لتوجيه أي اشعار بالرغبة في فسخ العقد ، لذلك يكون ما اثارته المستانفة من ان استمرارها في وضع اليد على الشيء موضوع الكراء يعتبر تجديدا ضمنيا طبقا للفصل 689 من قانون الالتزامات و العقود غير مؤسس قانونا.,معاينة القرار الاستئنافي
2023/1221/11,2023/1221/3526,2023-06-05,محكمة الاستئناف بأكادير,‫• حجز مال المدين لدى الغير.‬‬ ‫• حجز مال المدين لدى الغير – حجز على نصيب الورثة.‬‬ ‫• يمكن ان يجد التنفيذ سنده في التنفيذ في الحكم الصادر في مواجهة الورثة لاقتضاء دين‬‬ ‫تعلق بمورثهم.‬‬ ‫• لم يرتب المشرع أي جزاء على مخالفة الفصل ‪ 494‬من قانون المسطرة المدنية.‬‬‬ ‫• لا يصح الدفع بكون المبالغ المحولة الى حساب مورثهم لا تقبل الحجز اذا كان الامر‬‬ ‫يتعلق بتركة الهالك مورث المحجوز عليهم،‬‬ ‫• يتعين أداء ديون التركة بالنسبة للورثة بغض النظر عن مصدرها ان كانت معاشا أو غير‬‬,
