رقم الملف,رقم القرار,تاريخ القرار,محكمة الاستئناف,القاعدة القانونية,معاينة القرار الاستئنافي
2024/8201/15,2024/8201/293,2024-02-14,محكمة الاستئناف التجارية بمراكش,لما قضت المحكمة بتصفية الغرامة التهديدية بناء على حكم نهائي صدر بتحديدها استنادا على تبوث امتناع وتعنت المستأنفة عن التنفيذ المستمد من المحضر المنجز من قبل المفوض القضائي تكون قد سايرت الثابت لها من وثائق الملف وطبقت القانون بشكل سليم.,معاينة القرار الاستئنافي
2024/1403/3,2024/1403/3,2024-02-01,محكمة الاستئناف بتازة,العقار في طور التحفيظ,
2023/1403/240,2024/1403/240,2024-02-01,محكمة الاستئناف بتازة,قضايا عقارية,
2023/1403/206,2024/1403/206,2024-01-23,محكمة الاستئناف بتازة,العقار في طور التحفيظ,
2023/1402/295,2024/1402/295,2024-01-23,محكمة الاستئناف بتازة,العقار المحفظ,
2023/1401/352,2024/1401/352,2024-01-23,محكمة الاستئناف بتازة,العقار العادي,
2023/8201/2442,2024/8201/105,2024-01-23,محكمة الاستئناف التجارية بمراكش,لا مجال لطلب الفسخ ما دام ان الورقة التقنية للسيارة حددت صفات السيارة على سبيل النسبة الادنى والنسبة الاقصى,معاينة القرار الاستئنافي
2023/8205/1649,2024/8205/122,2024-01-23,محكمة الاستئناف التجارية بمراكش,حضور مالكي نصف الاسهم المكونة للراسمال في استدعاء اول او الربع في الاستدعاء الثان مداولات يجعل مداولات الجمع العام الغير العادي صحيحة اما اغلبية ثلثي اصوات المساهمين الحاضرين او الممثلين فهو النصاب القانوني لاتخاد قرار الزيادة في الراسمال وفي حالة عدم توفره يكون القرار باطلا,معاينة القرار الاستئنافي
2023/8222/2164,2024/8222/68,2024-01-18,محكمة الاستئناف التجارية بمراكش,ان عدم توصل المدين بالإنذار بالأداء بسبب عدم العثور علي بالعنوان موضوع المحضر الإخباري لا يمنع قانونا الدائن من رفع دعوى الأداء و ان تفويت الشريك لأسهمه في الشركة لا ينهي التزامه التضامني بمقتضى عقد الكفالة اتجاه الدئن,معاينة القرار الاستئنافي
2023/8216/2536,2024/8216/74,2024-01-18,محكمة الاستئناف التجارية بمراكش,لا مبرر لاجراء بحث في النازلة لما ثبت للمحكمة ان الكمبيالات مستكملة لجميع بيانهاتها الإلزامية وموقعة بالقبول من قبل المسحوب عليه الذي لم يثبت أداء قيمتها بحجة مقبولة,معاينة القرار الاستئنافي
2023/8216/2043,2024/8216/44,2024-01-17,محكمة الاستئناف التجارية بمراكش,عدم تقديم الكمبيالة للوفاء داخل الأجل المنصوص عليه في المادة 184 من مدونة التجارة لا علاقة له بأمد التقادم في مواجهة المسحوب عليه المحدد في ثلاث سنوات حسب الوارد في المادة 228 من نفس المدونة، وإنما يقتصر أثره فقط على فقدان الحامل لحقه في الرجوع على باقي الملتزمين والمظهرين في حالة عدم وفاء المسحوب عليه بقيمة الكمبيالة.,معاينة القرار الاستئنافي
2024/1221/6,2024/1221/2345,2024-01-12,محكمة الاستئناف بأكادير,القضايا الاستعجالية المستانفة,
2023/8216/2279,2023/8216/2730,2023-12-28,محكمة الاستئناف التجارية بمراكش,لما ثبت للمحكمة مصدرة القرار المطعون فيه سبقية الطعن بالتعرض ضد الامر بالاداء ورتبت على ذلك عدم قبول الطعن فيه للمرة الثانية تكون قد سايرت الثابت لها من وثائق الملف ولم تخرق ما احتج به من مقتضيات,معاينة القرار الاستئنافي
2023/8201/2551,2023/8201/2663,2023-12-26,محكمة الاستئناف التجارية بمراكش,ان دعوى التعويض المرفوعة ضد المديرية الإقليمية للتربية و التكوين بسبب اختلاس مادة الكهرباء تعتبر من النزاعات المتعلقة بالتعويض عن الاضرار التي تتسبب فيها اشخاص القانون العام و تدخل بذلك في اختصاص المحاكم الإدارية و هو اختصاص يمكن اثارته في أي مرحلة من مراحل التقاضي و يمكن اثارته تلقائيا من قبل المحكمة المعروض عليها النزاع.,معاينة القرار الاستئنافي
2023/8201/2370,2023/8201/2628,2023-12-20,محكمة الاستئناف التجارية بمراكش,ان أجل الطعن بالاستئناف ضد الاحكام الصادرة عن المحاكم الابتدائية التجارية محدد في 15 يوما وفي حالة الرفض لا يحتسب الاجل إلا بعد اليوم العاشر الموالي لتاريخ الرفض.,معاينة القرار الاستئنافي
2023/8201/2483,2023/8201/2629,2023-12-20,محكمة الاستئناف التجارية بمراكش,طبقا للفصل 418 من قانون الالتزامات والعقود فإن الاحكام تعد أوراقا رسمية ولها حجيتها على ما تتضمنه من وقائع قبل صيرورتها قابلة للتنفيذ.,معاينة القرار الاستئنافي
2023/8201/2481,2023/8201/2622,2023-12-20,محكمة الاستئناف التجارية بمراكش,لما تبت للمحكمة ان المستأنف عليها أدت ثمن البيع للموثق وتبت لها أيضا ان المستأنفة انتصبت كطرف مدني في الدعوى العمومية وقضي لها بثمن البيع في مواجهة الموثق فإنها لما قضت برفض طلب فسخ عقد البيع المقدم من المستأنف تكون قد طبقت القانون بشكل سليم ولم تخرق أي مقتضى قانوني.,معاينة القرار الاستئنافي
2023/8201/2482,2023/8201/2639,2023-12-20,محكمة الاستئناف التجارية بمراكش,اداء المشترية لثمن بيع العقار للموثق محرر العقد واشهاده بذلك يؤدي الى ابراء ذمتها من الثمن. ادانة الموثق من اجل جنحة خيانة الأمانة بمقتضى حكم جنحي نهائي بسبب تصرفه في الثمن الذي تسلمه ومطالبته من قبل البائعة بأداء الثمن في إطار الدعوى المدنية التابعة يبرر رفض طلب فسخ عقد البيع.,معاينة القرار الاستئنافي
2023/8201/2484,2023/8201/2623,2023-12-20,محكمة الاستئناف التجارية بمراكش,لما تبت للمحكمة ان المستأنف بلغ سن الرشد وقت تسجيل المقال الاستئنافي وان المقال مرفوع باسم ابيه نيابة عنه دون اي توكيل ورتبت على ذلك عدم قبول الاستئناف لانعدام صفته تكون قد سايرت الثابت لها من وثائق الملف وطبقت القانون تطبيقا سليما.,معاينة القرار الاستئنافي
2023/8211/2197,2023/8211/2594,2023-12-19,محكمة الاستئناف التجارية بمراكش,انشاء الاجير لشركة منافسة لمشغلته والحال انه لازال يشتغل لدى هذه الاخيرة يمنح الحق في التعويض عن الضرر الذي تحدده المحكمة استنادا الى ما ادلت به المشغلة من وسائل اثبات والا يحدد استنادا الى السلطة التقديرية للمحكمة,معاينة القرار الاستئنافي
2023/8226/3971,2023/8226/7060,2023-12-14,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8203/2005,2023/8203/2531,2023-12-12,محكمة الاستئناف التجارية بمراكش,ان البيانات الإلزامية المشترطة قانونا لصحة الكمبيالة هي تلك المنصوص عليها في المادة 159 من مدونة التجارة و التي لا يوجد ضمنها تاريخ الانشاء و تاريخ الاستحقاق و بالتالي فان أي تناقض بين هاذين التاريخين على فرض وجوده لايؤثر على صحة الكمبيالة .,معاينة القرار الاستئنافي
